,symbol,DKD,non-DKD
1,GSM756992,1,0
2,GSM756993,1,0
3,GSM756994,1,0
4,GSM756995,1,0
5,GSM756996,1,0
6,GSM756997,1,0
7,GSM756998,1,0
8,GSM756999,1,0
9,GSM757000,1,0
10,GSM757001,0,1
11,GSM757002,0,1
12,GSM757003,0,1
13,GSM757004,0,1
14,GSM757005,0,1
15,GSM757006,0,1
16,GSM757007,0,1
17,GSM757008,0,1
18,GSM757009,0,1
19,GSM757010,0,1
20,GSM757011,0,1
21,GSM757012,0,1
22,GSM757013,0,1
45,GSM758485,0,1
46,GSM758486,0,1
47,GSM758487,0,1
48,GSM758488,0,1
49,GSM758489,0,1
50,GSM758490,0,1
51,GSM758491,0,1
52,GSM758492,0,1
53,GSM758493,0,1
54,GSM758494,0,1
55,GSM758495,0,1
56,GSM758496,0,1
57,GSM758497,0,1
92,GSM2544275,1,0
93,GSM2544276,1,0
94,GSM2544277,1,0
95,GSM2544278,1,0
96,GSM2544279,1,0
97,GSM2544280,1,0
98,GSM2544281,1,0
99,GSM2544282,1,0
100,GSM2544283,1,0
101,GSM2544284,1,0
102,GSM2544285,1,0
103,GSM2544286,1,0
104,GSM2544287,1,0
105,GSM2544288,1,0
106,GSM2544289,1,0
107,GSM2544290,1,0
108,GSM2544291,1,0
109,GSM2544292,1,0
110,GSM2544293,1,0
111,GSM2544294,1,0
112,GSM2544295,1,0
113,GSM2544296,1,0
114,GSM2544297,1,0
115,GSM2544298,1,0
116,GSM2544299,1,0
117,GSM2544300,1,0
118,GSM2544301,1,0
119,GSM2544302,1,0
120,GSM2544303,1,0
121,GSM2544304,1,0
122,GSM2544305,1,0
123,GSM2544306,1,0
124,GSM2544307,1,0
125,GSM2544308,1,0
126,GSM2544309,1,0
127,GSM2544310,1,0
128,GSM2544311,1,0
129,GSM2544312,1,0
130,GSM2544313,1,0
131,GSM2544314,1,0
132,GSM2544315,1,0
133,GSM2544316,0,1
134,GSM2544317,0,1
135,GSM2544318,0,1
136,GSM2544319,0,1
137,GSM2544320,0,1
138,GSM2544321,0,1
139,GSM2544322,0,1
140,GSM2544323,0,1
141,GSM2544324,0,1
142,GSM2544325,0,1
143,GSM2544326,0,1
144,GSM2544327,0,1
145,GSM2544328,0,1
146,GSM2544329,0,1
147,GSM2544330,0,1
148,GSM2544331,0,1
149,GSM2544332,0,1
150,GSM2544333,0,1
151,GSM2544334,0,1
152,GSM2544335,0,1
